Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-14 00:00:00-04:00,81.64854417525363,81.77252602798913,80.68527816136293,80.82833862304688,368600,0.0,0.0
2018-05-15 00:00:00-04:00,80.6757397302729,81.30520285795377,80.50407590602256,80.96186065673828,511100,0.0,0.0
2018-05-16 00:00:00-04:00,80.79973436260066,81.71531120273384,80.79973436260066,81.35289764404297,398600,0.0,0.0
2018-05-17 00:00:00-04:00,81.31473301371973,81.93465676707481,81.06676205710639,81.70575714111328,327000,0.0,0.0
2018-05-18 00:00:00-04:00,81.66760760806962,82.00141774516153,81.44825456088215,81.6771469116211,800000,0.0,0.0
2018-05-21 00:00:00-04:00,81.9442062427021,82.72626194036988,81.84883501642226,82.57366943359375,517000,0.0,0.0
2018-05-22 00:00:00-04:00,82.5927155117256,83.23171053639196,82.46873368311086,82.96466827392578,347700,0.0,0.0
2018-05-23 00:00:00-04:00,82.64043001962546,82.70719060565716,82.2493985326125,82.57366943359375,412500,0.0,0.0
2018-05-24 00:00:00-04:00,82.27798542413618,82.506885032768,81.54361918975493,82.22076416015625,431000,0.0,0.0
2018-05-25 00:00:00-04:00,81.9823510615264,82.49736438285977,81.43872710173412,81.7439193725586,328400,0.0,0.0
2018-05-29 00:00:00-04:00,80.61850569998977,80.92369791096493,78.76827382800245,79.28328704833984,678400,0.0,0.0
2018-05-30 00:00:00-04:00,80.10350268419324,81.49594277892534,79.96044222537095,81.16213989257812,718000,0.0,0.0
2018-05-31 00:00:00-04:00,80.96185383829042,81.36241728052136,80.237019554951,80.90463256835938,627800,0.0,0.0
2018-06-01 00:00:00-04:00,81.8965157628953,82.62134282843631,81.81067657470703,81.81067657470703,506900,0.0,0.0
2018-06-04 00:00:00-04:00,82.00143344705033,82.4115362620119,81.1812278171272,81.23844909667969,408200,0.0,0.0
2018-06-05 00:00:00-04:00,81.04770450806275,81.11446509123124,80.13212040124104,81.00001525878906,655500,0.0,0.0
2018-06-06 00:00:00-04:00,81.35290744667016,81.79162094732443,80.90465463963939,81.5627212524414,473800,0.0,0.0
2018-06-07 00:00:00-04:00,81.81067820813108,81.93466734061666,81.29566489779089,81.69623565673828,783800,0.0,0.0
2018-06-08 00:00:00-04:00,81.82020794877175,82.30661056440738,81.55316565826018,82.24938201904297,479300,0.0,0.0
2018-06-11 00:00:00-04:00,82.50688869412265,82.65948116362597,81.54362280836338,81.71529388427734,297700,0.0,0.0
2018-06-12 00:00:00-04:00,81.72484830293722,81.72484830293722,80.48500060575796,80.70436096191406,399700,0.0,0.0
2018-06-13 00:00:00-04:00,80.82832538582086,81.19073885655816,80.15118040619383,80.43729400634766,927400,0.0,0.0
2018-06-14 00:00:00-04:00,80.69481868084529,80.87602908679723,79.87461311628883,80.30378723144531,803400,0.0,0.0
2018-06-15 00:00:00-04:00,79.88413181185817,80.64710862822704,79.13068702129056,80.57081604003906,1023500,0.0,0.0
2018-06-18 00:00:00-04:00,80.141669341181,80.45640096096635,79.54082402042974,80.22750854492188,652600,0.0,0.0
2018-06-19 00:00:00-04:00,79.59802059217174,80.59943642553485,79.55987065528247,80.37053680419922,641300,0.0,0.0
2018-06-20 00:00:00-04:00,80.70435235818287,80.95231605009764,80.0939678796348,80.16072845458984,816600,0.0,0.0
2018-06-21 00:00:00-04:00,80.0462798918756,80.3991613800917,79.5884878876049,79.82691955566406,663900,0.0,0.0
2018-06-22 00:00:00-04:00,80.23702014971369,80.33239863544817,79.54080377253584,79.80784606933594,1060900,0.0,0.0
2018-06-25 00:00:00-04:00,79.45497300011901,80.0176755648098,78.93042765484603,79.7506332397461,486000,0.0,0.0
2018-06-26 00:00:00-04:00,79.77924300409931,79.77924300409931,79.15931916978731,79.17839050292969,425300,0.0,0.0
2018-06-27 00:00:00-04:00,78.99717113501178,79.43588447069604,77.56658132355423,77.5951919555664,376400,0.0,0.0
2018-06-28 00:00:00-04:00,77.49028392158957,77.80501543645815,76.92758873714843,77.39491271972656,510600,0.0,0.0
2018-06-29 00:00:00-04:00,77.9194652585488,78.78736001232467,77.55705174701828,77.64289093017578,597400,0.0,0.0
2018-07-02 00:00:00-04:00,77.26139556285483,78.21512218333964,77.15648505249297,78.1197509765625,557000,0.0,0.0
2018-07-03 00:00:00-04:00,78.540204943233,79.02755221050401,78.34908193495262,78.43508911132812,371900,0.16,0.0
2018-07-05 00:00:00-04:00,78.73133821461948,78.77912079999237,78.19620825331808,78.63578033447266,685000,0.0,0.0
2018-07-06 00:00:00-04:00,78.38734088665423,79.34293447501399,78.18666710797075,79.11359405517578,441300,0.0,0.0
2018-07-09 00:00:00-04:00,79.60093611903005,81.1681087705069,79.59137814330415,81.09165954589844,634000,0.0,0.0
2018-07-10 00:00:00-04:00,81.12988519557474,81.13944317142285,80.33674088396884,81.00565338134766,512800,0.0,0.0
2018-07-11 00:00:00-04:00,80.48007352509681,80.77630513215708,79.8589363862232,80.06916809082031,448600,0.0,0.0
2018-07-12 00:00:00-04:00,80.64250569071474,80.64250569071474,79.04666687312168,79.6869125366211,353700,0.0,0.0
2018-07-13 00:00:00-04:00,79.36202822465009,80.10738984852833,79.23779642693808,79.72515106201172,612700,0.0,0.0
2018-07-16 00:00:00-04:00,79.86848456702977,80.75718656982951,79.86848456702977,80.70940399169922,483900,0.0,0.0
2018-07-17 00:00:00-04:00,80.728520239747,81.03430978536507,80.4036147465665,80.80496215820312,336800,0.0,0.0
2018-07-18 00:00:00-04:00,80.95787387512776,81.61723565298438,80.83364206735823,81.49300384521484,445700,0.0,0.0
2018-07-19 00:00:00-04:00,81.3209983568921,81.3305563324332,80.08828197366104,80.24118041992188,530600,0.0,0.0
2018-07-20 00:00:00-04:00,79.94493938954056,80.05004794573188,79.42891813000908,79.76337432861328,346500,0.0,0.0
